record_key,os,chipset,cpu,gpu
a36f08a596827990459f92aa06fc4fc0ca5a6ec61e2384747a6994b1da97ea09,"Android 13 (Go edition), XOS 13",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320
e7a4577fb3f945edfabdedd34e667dcbf569b736d68f180aa8ffdad20ee2e944,"Android 14 (Go edition), XOS 14",Mediatek Helio G81,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2
152e829ac65b28b3c5c627b47d7d95c971feb5f83d39300809427f3a10b5120b,"Android 13, XOS 13",Mediatek Dimensity 8020 (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9
4943b8dbafcffdb862701380603703e7d96513059e1a6f26a8ec04189d979dd0,"iOS 15, upgradable to iOS 26.6",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics)
8f807756ab75c0b0e08d51dd5f5518741058d35552ada025111b98a5efed8e93,"iOS 16, upgradable to iOS 26.6",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (5-core graphics)
b0e9282ea87e56d49ffbc282e8d46544aea773c147fdabd68f84ab30c038c01c,"iOS 17, upgradable to iOS 26.6",Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics)
f5c0168081a025c1f71da889bc9b5659f09b36a3465cd81aac705379ee9f869f,iOS 27,Apple A20 Pro (2 nm),Hexa-core (2x GHz + 4x GHz),Apple GPU (8-core graphics)
2d0b0b72b2ad0752777354bec00cb7cf3564b072d08c4aa9dfa410c0e52c4097,Android 12 Go edition,Unisoc SC9863A1 (28nm),Octa-core (4 x 1.6 GHz Cortex-A55 + 4 x 1.2 GHz Cortex-A55),IMG8322
388c001a6ee3a4502122951106624535c0fb164e41ff787a0db6271dbe0d9f4c,Android 11.0 (Go edition),CPU 1.3 Ghz Quad Core,1.3 GHz Quad Core,Mali-T820 MP1
17922b12bf621dc05b225857fa15777140243d113932d5780b0b9b5866e25965,Android 13,Unisoc T603 (22 nm),Octa-core (4x1.8 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),PowerVR GE8322
994520575d5580547ea7d090e3118a52dd60f579ac91316c331d6bb398facc4d,MOS,N/A,N/A,N/A
a6860572b22d3702b81231c2a53be5263e3f0f0ea287d97d2efd440b5ed8817e,Android 13,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
97d3bd819fdc0a391154449727a68761a793ce547b49e92ad6f00f9a38e9f79f,"Android 16, itel OS 16",Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
012fe72c161b3c4165cd30f7837da682a14ed7889900de9e1b91b420340ebc6f,"Android 13, itel OS 13",Unisoc Tiger T616 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MP1
4b6748eeff86c9be0261dbe7bd33d9018ebefb6579b62b900c1ba74abfa50401,Android 12,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
79ca26acd14a2ce3dd948f0874968c622244356ada818abb169af3d7f38f0491,Android 16,Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
851afc357823cdda4a9a42ca5f0d4c0e118d43155b2a9005f1d89b5a6d1030f5,"Android 11, upgradable to Android 13",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
42aeffe211dcca3faf7e1c777534538bd5c171754b5d06210a08962356b556a9,"Android 11, ColorOS 11.1",Mediatek MT6762D Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320
93ee8dadac86e6ab7b20ad6356d9c9a8779519ce6de45e7f370d098af97a6d59,"Android 11, ColorOS 11.1",Mediatek MT6765G Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320
b7a58e69da0f3277a1cafafdbfaf6d039e37c2001f1bde4fdfec102f392222a7,"Android 12, ColorOS 12.1",Mediatek MT6765 Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320
447c68d038da2f7ed01920664a5691a8d1fd108661fe32c3ec550d0b5e522090,"Android 12, ColorOS 12.1",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
b86adff8e7e5483cb6073189fe7cb72955beb4eaa0aaa5617d476906e2e70fb5,"Android 12, ColorOS 12.1",Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
42d20c08ebb7ab8a67ae474e592dcc7710f9e3064b3f97c7b42adffff2e5ce49,"Android 12, upgradable to Android 14, ColorOS 14",Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
a33a25ab4c102d4fb875fa71246a1bf27aa07b37e2f30b2f61e3c75a088e5647,"Android 11, ColorOS 11.1",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610
