record_key,os,chipset,cpu,gpu
eefb2a1b576528a7c4000c8259f043b366ba1d4c28b6419bf5827b16ac388680,Android 13,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
d4eb7b1b01870c1f1d651b5ec091b60b64f17d103225c85fd6d8048bda32d42e,"Android 13, HIOS 13",Mediatek MT6769Z Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
0a8e1ad2a7204df0576bf01e19642dc19ac72f60760d1e68a80f2fe1f0eb4255,Android 13,Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320
42935071e3b5dd40475917176edab7e38ba122d89aff08136caaf851d44d08b5,"Android 16, HIOS 16",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G52 MC2
50a54cdb89b576704c5ef8c6f643308f0782f1f1f1aab80e610c1432ceb38321,"Android 13 (Go edition), HIOS 13",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
a7f0b414b79bad68b217ba261e0869268ff7776337c2e41a9f17001f881cd487,"Android 16, OriginOS 6",Mediatek Dimensity 7360 Turbo (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2
80b1b5d6746387c176ca4baf2ed30740a92d08ad1118b960a584008e1f98d1d0,"Android 13, Funtouch 13",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
6d9b506fb3e0bd095878d0f1554e04fb7ce5d72f4efbd55d50e9e5fdd783b38d,"Android 13, up to 3 major Android upgrades, Funtouch 13",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L
898e9e9fccce84e9a65a8675a5098e506572a1be049f37a9b67ad36fed3cf46d,"Android 14, up to 2 major Android upgrades, Funtouch 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720
48e05c7684304b53671580cd3471d12249aa8f28a3f92c53ff2562413a9988c2,"Android 15, up to 4 major Android upgrades, Funtouch 15",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722
1017bc3a83c563bfd456fdedc562b333b3a4c9f6c94ff5f18a582cc0827719ac,"Android 16, up to 3 major OS updates, OriginOS 6",Mediatek Dimensity 7360 Turbo (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2
f2282414beb59035d1d1cd61b7939d19874edac205ecb0c0e5026258e487aff2,Android 16,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),2.8 GHz Octa Core,Adreno 722
0552705b0ed0ab1c8b375618cd85a26357391e22337b0bef4d5b32b4f3ceb211,"Android 16, up to 5 major OS updates, OriginOS 6",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829
0476a1bd91b56692bf90bebeae9ac43ae0649755bd68a6d6d97ba5abeadf5208,"Android 12, Funtouch 12",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320
5c48b78729b2382900cb21be49c2b964e408fa6ebc6e3af85d5965ffd9bc8dd0,"Android 14, Funtouch 14",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
acc00caec9e3f6f2683de16afe396838a703c3d94fb8dfd6a0582b78bda22c0e,"Android 14, Funtouch 14",Unisoc T7225 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MP1
0c2e16185adc90d74d8e543afdb61159f67907214a500dca1255844ffaf76532,"Android 13, Funtouch 13",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4
d6258340c0cdfaa37149a9c866739626f08b44b8dbee769c5e3c986307ebfd11,"Android 14, Funtouch 14",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
6b1d4368838f3ae6a0cbf55e573873d6f70202417140a0f8e25da585a520d10c,"Android 11, Funtouch 11.1",Mediatek MT6765 Helio P35 (12 nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320
0ae85f58df1ecd24fb888b6b2011d70be4f688e0eab7b89428fdaca105576710,"Android 13, Funtouch 13",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610
9ec75565cd49b849bac61d0c918ecc28799865705efd53fcb4c2ed81df77430c,"Android 14, upgradable to Android 15, Funtouch 15",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
2a3939d09cc290f5e5f24660699dd3ed2bd4c3b60c113c5d4f8dfb1cfd9b5ab9,"Android 13, MIUI 14, planned upgrade to Android 14, HyperOS",Mediatek Helio G99 Ultra,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
67718b01eed88cb7e11ce2bcd984a4b9a0184e39add623edb597a929523ee0e9,"Android 14, up to 3 major Android upgrades, HyperOS",Mediatek Dimensity 8300 Ultra (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6
d6b48bef27ea15a79d2b5d2b2ddae3264412b440a03c818ba890a631071b5f5c,"Android 13, MIUI 14",Mediatek MT6769Z Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
da0fd0827071c34eaf63199e0482288ed81e74f9ca3b6f2bf06dae8f1ca0d3ab,"Android 14, HyperOS",Mediatek Helio G81 Ultra (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
d23d66b128f7671e006356693f47aef0bd9ea7c349729cf5067458915a65cf1f,Android 12,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
e90b91703461adb5350ce9493753350455c80d4fc76447e284ed076c1106b244,Android 13,Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322
10384bbcc1af986315c97b98f2fe52a95ee4b2758ce2a1df3048f736e4d625db,Android 14 (Go edition),Unisoc SC9863A1 (22 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322
01b68a670862d23c1a4b2e491dba95308becce2a1c8d3fc531fc2be8a9283b88,"Android 13, MyOS 13",Unisoc T616 (12nm),Octa-core (2×2.0 GHz Cortex-A75 + 6×1.8 GHz Cortex-A55),Mali-G57 MP1
b40c3c3d5f614cc3b6b5d468987340cc6139b22b192dea93c41476a970a48247,Android 14,Unisoc T760 (6 nm),Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),Mali-G57
ed05bd8f6d9d13047b266c34e20f02c108451606327c01498ec1cb057c7a4d22,Android 13,Unisoc T820 (6 nm),Octa-core (1x2.7 GHz Cortex-A76 & 3x2.3 GHz Cortex-A76 & 4x2.1 GHz Cortex-A55),Mali-G57
8e10517736cf4542ff3b069e517fc1007fcd4091d841073ccb958b20bf2b0ac8,"Android 16, Nebula AIOS 2",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840
4b23bd3b2fd9e8e3c0871c86fc6b95a854148640a57072ddfcd7c64fb4ca6288,Android 13,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
