record_key,wlan,bluetooth,positioning,nfc,infrared_port,radio,usb,back_finger_print,side_finger_print,in_display_finger_print,sensors
cc82dcf2f9f934951d147bbd4db58cdc64bd7f0ea0e53d99f4d16673afea4bbe,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",5.0,"Beidou, GPS, GLONASS, Galileo, QZSS",false,false,false,Type-C,false,true,false,"Proximity sensor, Ambient light sensor, E-compass, Accelerometer, Side fingerprint sensor"
85deb17819703c8a2b72ef84c4f4c2bf16a5198c3bf1bdab88af8553b713ba4d,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO",false,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, proximity, compass"
90d6a2abd9a4f9daf6719fe211d82ebbd7e7229919105866881970939b804883,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE, aptX HD, LHDC 5.0","GPS, GALILEO, GLONASS, QZSS, BDS",false,false,false,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity, compass"
bdf0b8709ce7ece9511a757e66c5478af4dc57597039cb24ddba65c0da62d832,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, BDS, GALILEO",true,false,true,microUSB 2.0,false,false,false,"Fingerprint (rear-mounted), accelerometer, Virtual proximity sensing"
d67f60d6a9f191e5ad9a61a12e75f55c875539ca6233228753d7767f77bf82cb,Wi-Fi 802.11 a/b/g/n,"5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",false,false,true,microUSB 2.0,false,false,false,"Fingerprint (rear-mounted), accelerometer"
f125729dac65fea964f35ab67e756e5f51a3a3e28b202494f301701646ead02a,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE","GPS, GLONASS, GALILEO, BDS",true,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, compassVirtual proximity sensing"
10ab98030450c7c19db32494aaff90c8d6ba3b260ed9d1d7802a10b3991a0b61,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO",true,true,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
2d1e1481797ec3df7cad855c625dd0a4c916e3f1d61ac20e2c0951b5ae1fa3b0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE","GPS, GLONASS, BDS (B1I+B1c), GALILEO, QZSS",true,true,true,"USB Type-C 2.0, OTG",false,false,true,"Fingerprint (under display, optical), accelerometer, gyro, compass, Virtual proximity sensing"
9912446ca221c308265d86df4cd39d4a8db153928c98b95701e626af7e20647a,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GALILEO, GLONASS, QZSS, BDS",true,true,true,"USB Type-C 2.0, OTG",false,false,true,"Fingerprint (under display, optical), accelerometer, proximity, gyro, compass"
f6746dfe4af20be8922cf739a7f59ae0a05ee4083da287ee10a581f4b6e2565e,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE","GPS (L1), GLONASS (G1), GALILEO (E1), BDS (B1)",true,true,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
8195f7c5c3f8c98de40761bdf030c2d813df9eed4529e1491202c5dc0cd7d35c,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",false,false,true,USB Type-C 2.0,false,false,false,"Accelerometer, proximity"
67db11b9acdbba31624b06183045531c2485db5d5bdee95a33333665e066cfbc,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO, QZSS",true,false,false,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, Virtual Proximity Sensing"
56b0fec02448f91243cb22cffafa023ee50c4fb03d7ec9aa73717fa50d9f9d00,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",true,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
5c02241ece6ed0f915531fde16e4195b308323013471818497f243bdb74c7694,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",true,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensing"
03cf5bf9d6b833baabc692848d4318071990b6439cf0687a4ed309da1090cec1,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",false,false,true,USB Type-C,false,true,false,"Fingerprint (side-mounted), accelerometer, proximity, compass"
479197be9e595ca04ab37e59dbffdb76e446342ea19b9abd62668b06703bac69,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",true,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, compass, Virtual proximity sensing"
669207706646419f4b6db219917c71eb09d88ec24caf7a3ddbbaee42c69dcb10,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",true,false,false,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, compass, Virtual proximity sensing"
47f7f73ae80264137a7c3b63f5f0c8909e4b8874ff404d4cff28478076068c39,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO",true,false,true,"USB Type-C 2.0, OTG",false,false,false,"Fingerprint (under display, optical), accelerometer, gyro, compassVirtual proximity sensing"
840651d4736e14a9f00468c2d3ecaf28139a84e4574d9bb3ee789fa5b1be5b32,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",true,false,true,"USB Type-C, OTG",false,false,true,"Fingerprint (under display, optical), accelerometer, gyro, compassVirtual proximity sensingSamsung DeX (desktop experience support)"
66b25b30ff78584501c86018fc0950b6760951c5dd91299768271a326da94031,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, BDS, GALILEO, QZSS",true,false,false,"USB Type-C 3.2, DisplayPort 1.2, OTG",false,false,true,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer"
41724748957ccc6c33e688e94f814b1e40a0d211c7cf1f1d107997a67925dd91,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",true,false,false,"USB Type-C 3.2, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
cdfc40a69fbdd347e536459b97a9cbafba3ff33238741c92be16938d51ffe277,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",true,false,false,"USB Type-C 3.2, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometerSamsung DeX (desktop experience support)Ultra Wideband (UWB) support"
f6c350dad63cc400616489c7737d26b77664ee2767f7154215a238836fff46b7,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",true,false,false,"USB Type-C 3.2, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
01dbc31aa4b8fb28aff18810f7d78c5604796416bd011d0a55a1e8d07ec9ba0c,"Wi-Fi 802.11 b/g/n, Hotspot",Bluetooth 5.0,"GPS, A-GPS",false,false,true,USB Type-C 2.0,false,true,false,"Fingerprint, Accelerometer (G-Sensor), Light Sensor, Proximity Sensor"
f6749884b568549b59cf921c29029d3ca1df6d6124677254aff9a222f9b24615,"Wi-Fi 802.11 b/g/n, hotspot","v5.1 with A2DP, LE",Yes + A-GPS support,false,false,true,microUSB 2.0,false,false,true,"Accelerometer, Fingerprint, Proximity"
