record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
0af0834a9b0030fa27d5c862c19ef84c8396626b06629dfeefa3236307e2a65b,2026-08-14T10:58:48+00:00,Apple iPhone 15 Pro Max,https://mymobile.pk/products/apple-iphone-15-pro-max/,"Yes, with stereo speakers",false,"[""Black Titanium"",""White Titanium"",""Blue Titanium"",""Natural Titanium""]",Weight Unknown,[392000.0],mymobile.pk/mymobile__apple-iphone-15-pro-max.json,1ab0041948c981ef1d20f4ac9f75eb82558906d96ce5ad488e8e380518d78674,0.91667
06196e63ddee837e16c691bb9cae491af10bb4f5b9e0ebb198d10f127449b7f8,2026-08-14T10:58:41+00:00,Apple iPhone 15,https://mymobile.pk/products/apple-iphone-15/,"Yes, with stereo speakers",false,"[""Black"",""Blue"",""Green"",""Yellow"",""Pink""]",Weight Unknown,[284000.0],mymobile.pk/mymobile__apple-iphone-15.json,1c7bad89c2fade4583cad6c05546bafa1d96770dfaa0e37907f7193ad6539564,0.91667
c0860ba81428f4d058c75cb5bfb41dde468ba46c59058d72c5ee7d602fd61891,2026-08-14T10:57:59+00:00,Apple iPhone 16 Pro,https://mymobile.pk/products/apple-iphone-16-pro/,"Yes, with stereo speakers",false,"[""Black Titanium"",""White Titanium"",""Natural Titanium"",""Desert Titanium""]",Weight Unknown,[366999.0],mymobile.pk/mymobile__apple-iphone-16-pro.json,5afddd24da86fc56621efaf4cb9b76593e9f078b37d075ae10dee208591846fd,0.91667
d096ec39921c9807f2684b2d1fd5df12ca441cda63984e48d229fe1326096b62,2026-08-14T10:57:40+00:00,Apple iPhone 16,https://mymobile.pk/products/apple-iphone-16/,"Yes, with stereo speakers",false,"[""Black"",""White"",""Pink"",""Teal"",""Ultramarine""]",Weight Unknown,[323999.0],mymobile.pk/mymobile__apple-iphone-16.json,c8bbfe0d62eeae263a9af52fe010e217321caec5fd05e9cefb90833377f31e9d,0.91667
2bfd91b88fe8d14165f0013ba2d382a70cae44c47d9a6c0752d3d0f8595412f4,2026-08-14T10:57:47+00:00,Apple iPhone 17 Pro Max,https://mymobile.pk/products/apple-iphone-17-pro-max/,"Yes, with stereo speakers",false,"[""Silver"",""Cosmic Orange"",""Deep Blue""]",Weight Unknown,[486999.0],mymobile.pk/mymobile__apple-iphone-17-pro-max.json,741b0570f8adbffc639f2ed5701b30c9e0e88ca270c82fa0964699d64e5f874e,0.91667
2cdc6e69eb9a87f0adfb93114e4d62677d475d8ee6d7b39f9f39afe9122fdeef,2026-08-14T10:58:28+00:00,Apple iPhone 17 Pro,https://mymobile.pk/products/apple-iphone-17-pro/,"Yes, with stereo speakers",false,"[""Silver"",""Cosmic Orange"",""Deep Blue""]",Weight Unknown,[520500.0],mymobile.pk/mymobile__apple-iphone-17-pro.json,d23fcf808baac11b19074fdfb464c08eb0d6b6de723cdac085899156288af5f8,0.91667
db0d1f96c359212873bcfd0236cab15e7f773d60991124a69ce6f7c4afebbc75,2026-08-14T10:54:27+00:00,Google Pixel 11 Pro Fold,https://mymobile.pk/products/google-pixel-11-pro-fold/,Yes,false,"[""Black"",""White""]",Weight Unknown,[530000.0],mymobile.pk/mymobile__google-pixel-11-pro-fold.json,bdcaad46055fe5c4b878c5d982e40a5cc4e0a70dd0383247fb8ccb535fc7cc31,0.79167
5541c9cf5d6150ad083e5c2a56d08b025471760ee254e45784c1c33af84fb665,2026-08-14T10:57:13+00:00,Google Pixel 11 Pro XL,https://mymobile.pk/products/google-pixel-11-pro-xl/,"Yes, with stereo speakers",false,"[""Canyon; other colors""]",Weight Unknown,[515000.0],mymobile.pk/mymobile__google-pixel-11-pro-xl.json,e4ce458e72c0e20f9fc75aebaf1b62ccb300900ecc4410485c22e63ac093f9d4,0.75000
1df445ca2ed8807917645dd112528d85c5706c05acf00dac1523568e3ada7c2c,2026-08-14T10:57:35+00:00,Google Pixel 11 Pro Coming Soon,https://mymobile.pk/products/google-pixel-11-pro/,"Yes, with stereo speakers",false,"[""Canyon"",""Obsidian; other colors""]",Weight Unknown,[345000.0],mymobile.pk/mymobile__google-pixel-11-pro.json,18a529712995261be1a4186882723748c508c58ac64f2bf90a9ea984d8226ab8,0.70833
b9aeaf3a1e004952252adcea5d0301679f4222c45835ceb9dd6521d5b4b8b3bc,2026-08-14T10:57:18+00:00,Google Pixel 11,https://mymobile.pk/products/google-pixel-11/,"Yes, with stereo speakers",false,"[""Frost"",""Pistachio"",""Hibiscus"",""Obsidian""]",Weight Unknown,[285000.0],mymobile.pk/mymobile__google-pixel-11.json,8feb8e11c1d87d1cfd4c95c136def414cd437248cbc89e8436e3d1d688cb3966,0.87500
5749518c03f439501c7fb2d6302ccc16ac9eddff3c549dc61a99707a5b14e241,2026-08-14T11:07:42+00:00,Google Pixel 6,https://mymobile.pk/products/google-pixel-6/,"Yes, with stereo speakers",false,"[""Sorta Seafoam"",""Kinda Coral"",""Stormy Black""]",Weight Unknown,[58000.0],mymobile.pk/mymobile__google-pixel-6.json,1ce63886b08daff2bfeab636526c07c0bd3d5a873c352c10e29c87b40535cea3,0.91667
6ee5434d383071c3946cfa40a5d0f00af72264ee72e3737c29cb5fe63bd59ebe,2026-08-14T10:58:55+00:00,Google Pixel 9 Pro,https://mymobile.pk/products/google-pixel-9-pro/,"Yes, with stereo speakers",false,"[""Porcelain"",""Rose Quartz"",""Hazel"",""Obsidian""]",Weight Unknown,[220999.0],mymobile.pk/mymobile__google-pixel-9-pro.json,1850c9ba87918aec25e12a357077dbcab31fd797ae6508f546cceb0ef1b42a9a,0.91667
5026d9034ab88e6a612d214368c63e860c3610797bc4a44be3569f2ec1ef72e8,2026-08-14T10:59:01+00:00,Honor Magic 7 Pro,https://mymobile.pk/products/honor-magic-7-pro/,"Yes, with large amplitude stereo speakers",false,"[""Lunar shadow Grey"",""Breeze Blue"",""Black"",""White""]",Weight Unknown,[244799.0],mymobile.pk/mymobile__honor-magic-7-pro.json,0e635534f904241aad3aa7ddc8cc64775fe5a6413de7c3cf32c80479534f5b87,0.91667
