record_key,2g,3g,4g,5g
10ab98030450c7c19db32494aaff90c8d6ba3b260ed9d1d7802a10b3991a0b61,true,true,true,false
2d1e1481797ec3df7cad855c625dd0a4c916e3f1d61ac20e2c0951b5ae1fa3b0,true,true,true,true
9912446ca221c308265d86df4cd39d4a8db153928c98b95701e626af7e20647a,true,true,true,false
f6746dfe4af20be8922cf739a7f59ae0a05ee4083da287ee10a581f4b6e2565e,true,true,true,false
8195f7c5c3f8c98de40761bdf030c2d813df9eed4529e1491202c5dc0cd7d35c,true,true,true,false
67db11b9acdbba31624b06183045531c2485db5d5bdee95a33333665e066cfbc,true,true,true,false
56b0fec02448f91243cb22cffafa023ee50c4fb03d7ec9aa73717fa50d9f9d00,true,true,true,false
5c02241ece6ed0f915531fde16e4195b308323013471818497f243bdb74c7694,true,true,true,true
03cf5bf9d6b833baabc692848d4318071990b6439cf0687a4ed309da1090cec1,true,true,true,false
479197be9e595ca04ab37e59dbffdb76e446342ea19b9abd62668b06703bac69,true,true,true,false
669207706646419f4b6db219917c71eb09d88ec24caf7a3ddbbaee42c69dcb10,true,true,true,true
47f7f73ae80264137a7c3b63f5f0c8909e4b8874ff404d4cff28478076068c39,true,true,true,false
840651d4736e14a9f00468c2d3ecaf28139a84e4574d9bb3ee789fa5b1be5b32,true,true,true,true
66b25b30ff78584501c86018fc0950b6760951c5dd91299768271a326da94031,true,true,true,true
41724748957ccc6c33e688e94f814b1e40a0d211c7cf1f1d107997a67925dd91,true,true,true,true
cdfc40a69fbdd347e536459b97a9cbafba3ff33238741c92be16938d51ffe277,true,true,true,true
f6c350dad63cc400616489c7737d26b77664ee2767f7154215a238836fff46b7,true,true,true,true
01dbc31aa4b8fb28aff18810f7d78c5604796416bd011d0a55a1e8d07ec9ba0c,true,true,true,false
f6749884b568549b59cf921c29029d3ca1df6d6124677254aff9a222f9b24615,true,true,true,false
4de9e009cf75c628ec3fd32f00afeb750e574f8a9b7897dbdf0a80518d77a5a8,true,true,true,false
a0ebfc5406bfcff6d4d441670d3a205955336803e80238607308054d9dd4d6eb,true,true,true,false
68f5d96034fc54273bf09625b4d05faeee11a7dd87f29fb6ffd1d001ed545db7,true,true,true,false
f6e81b9dc89fb49f2fa8829f1df382397d01913c86b27fab23590a894777fb82,true,true,true,false
f8e725516ec20df7ba69fbd5be0e7567fb15e266156614554317b7284b69cc3d,true,true,true,false
54648b79958a27128530b56cf102a0f1f39240b49addca3f36d7b45876d1c1a6,true,true,true,false
5b422034ca0e17ca05903b0b809dc1a7a17d48c0b8217991464b539db1aca09c,true,true,true,false
62363c6285e84d8ce0cfcdf37367e3d4a834b01cb2143abf10638189fd689fd1,true,true,true,false
d3cb8585249f1a5381131760f3c761a9abda9dda5f0e593db834d66952f14b95,true,true,true,false
772282d4070825e03eae7ee7728381c837dbb62dc2d4c1a82bf6915c8eabe4e8,true,true,true,false
bd242006a222c5f14432aed2b0bfcac3e73b4ca464b76e74bddc62aee3b4f8bf,true,true,true,false
2c9a505dcc38a2e4dc6e9af4baf8ba2df40c4722e2b0b2d7373ac89cfbeffee6,true,true,true,false
05e6d0d1fc7c6c845029d2a6a8ac7c9f1a15e51c1316cb882cd627acb4d1a173,true,true,true,false
c99b6b7062155c55de41432597f4ec3556c92f5c50065bada9c03af3a4c595d3,true,true,true,true
0bc886745b141d5179472de40aac29b65293d133bb9eb535f1f4dce41718887d,true,true,true,true
1b20d46faa9ef4bb659a07e707a08d648002d41c696d0432e98d103a5cb0637c,true,true,true,true
ed6e7d04bc018a8b4a3e851a7b752041a1abe026a56790c6624f49af3651179f,true,true,true,false
be0dd621914a93027abbda47a8278bf3e7a26c1c150715d5b72c155fb506439a,true,true,true,true
e88be5579608e9fa0b0256b7704e28da997cbe8458449f338bd8d9013e97a6ec,true,true,true,false
8154fd53709dc9f251a6290e88d49f55ae224ffc671cbddc698e155b3472c97e,true,true,true,false
963ef458ac59cde3de1c7e10f397c5e173b7fdcaac26c3f26e669cc4b8ec05e8,true,true,true,false
eefb2a1b576528a7c4000c8259f043b366ba1d4c28b6419bf5827b16ac388680,true,true,true,false
d4eb7b1b01870c1f1d651b5ec091b60b64f17d103225c85fd6d8048bda32d42e,true,true,true,false
0a8e1ad2a7204df0576bf01e19642dc19ac72f60760d1e68a80f2fe1f0eb4255,true,true,true,false
