record_key,os,chipset,cpu,gpu
0d084dcf7326e146ce7de2a7952c3adfad3c091f6e74401d9d9c1f305cdaaaf5,"Android 16 OS, up to 3 major Android upgrades",Mediatek Dimensity 7100 (6 nm),Octa-core (4 x 2.4 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G610 MC2
6374958bfeca11749b533b3d8a22167222d758edb00c16bfc7a3c1bb05168e88,"Android 16 OS, up to 3 major OS updates",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 +6 x 2.0 GHz Cortex-A55),Mali-G52 MC2
6a67f6d4ee92c9d8fe239ff6f37d707e06560c27a9ffb64ca5d032285190ecd3,"Android 16 OS, up to 3 major Android upgrades",Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1 x 2.7 GHz Cortex-A720 + 3 x 2.4 GHz Cortex-A720 + 4 x 1.8 GHz Cortex-A520),Adreno 810
9584064ec1aa3c7bee1a93326371e4de1c3ce2ad5ab0ba45072de10e607c1d12,"Android 16 OS, up to 3 major Android upgrades",Mediatek Dimensity 7400 Ultimate (4 nm),Octa-core (4 x 2.6 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
a1415cad8991bc77e7b0902fcad7e02c68addaf7fe3b4c0952307ce7cef98a5f,"Android 16 OS, up to 3 major Android upgrades",Mediatek Dimensity 7100 (6 nm),Octa-core (4 x 2.4 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G610 MC2
e2e48a8821579bc7585fbeff55b4a3d239c1f73294230cf5ec4b9e7c231c39e7,Android 15 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
0e10fde081d198a572bd8d29ca6a9e4a710b97d6f342ecf37e2f3e9a32be1000,Android 16 OS,Mediatek Helio G81 Ultimate (12 nm),Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G52 MC2
86f2036f04a5210dc8feeda4cffa06ae4ed9863a113d395eb7fb150d8674942f,Android 16 OS,Mediatek Helio G81 Ultimate (12 nm),Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G52 MC2
4c3d5bfb64ec9eb732633b3e2aa45c816bbeebfd75dc1dbdae9471be57fc9977,Android 15 (Go edition),Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),ARM Mali G57 MP1
da34572f2018d20a6e38151c67b3e1418e6859a51107a99cdf7bf35c4d5b8a06,Android 15 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),ARM Mali G57 MP1
