record_key,data_snapshot,name,url,sound_loudspeaker,sound_cable_jack,colors_json,weight,price_json,source_file,file_sha256,completeness_score
a5194f76da0e91245673ebf641d3b08109bae4889ccc94bd61f6c9b949a4f6a3,2026-08-14T07:52:21+00:00,itel Super 26 Ultra,https://www.whatmobile.com.pk/itel_Super-26-Ultra,"3.5mm Audio Jack, Speaker Phone",true,"[""Saphire"",""Black"",""Blue""]",Weight Unknown,[51999.0],whatmobile.com.pk/whatmobile__itel_Super-26-Ultra.json,4dcad0da9def3710efa3fee23feff40c2dc0921b29214e04ee76d0ce13d3712f,0.87500
83c2c1555a3be7db081b424f247d6302a0c7b3ec10b980fe639184c503dfe064,2026-08-14T07:43:03+00:00,Nothing CMF Phone 2 Pro,https://www.whatmobile.com.pk/Nothing_CMF-Phone-2-Pro,"3.5mm Audio Jack, Dual Speaker",true,"[""White"",""Black"",""Orange"",""Light Green""]",Weight Unknown,[102249.0],whatmobile.com.pk/whatmobile__Nothing_CMF-Phone-2-Pro.json,abc5916bc64cf853e5104815a1bb09180fcd912bb1513e7534b9192ac3062adf,0.87500
4f29f863b9a0f34c1324566df37f289cbec6ba80976b5ebbea174e7ce8a8b020,2026-08-14T07:50:57+00:00,Nothing Phone 3a Lite,https://www.whatmobile.com.pk/Nothing_Phone-3a-Lite,"3.5mm Audio Jack, Speaker Phone",true,"[""Desert Gold"",""Ocean Cyan"",""Meteor Silver"",""Velvet Black""]",Weight Unknown,[112749.0],whatmobile.com.pk/whatmobile__Nothing_Phone-3a-Lite.json,02f61eae218069e673d5da1f6720eded4bbdfcd872f6781a257057254f7bcbcf,0.87500
c0091215d0dcebf2d6172595d189efe6ce83870d434dfea0ed7c17ac516d9405,2026-08-14T07:42:51+00:00,Nothing Phone 3a Pro,https://www.whatmobile.com.pk/Nothing_Phone-3a-Pro,Speaker Phone,false,"[""Black"",""Gray""]",Weight Unknown,[183499.0],whatmobile.com.pk/whatmobile__Nothing_Phone-3a-Pro.json,48505d8ee81cf2280624c80750aaf34a28b3300e579cc24a1ef2d08d733a53c3,0.87500
89bfe71d5ee89015a60b8a2b3187f9587d12e861c00a947410ec7795378ff292,2026-08-14T07:42:57+00:00,Nothing Phone 3a,https://www.whatmobile.com.pk/Nothing_Phone-3a,Speaker Phone,false,"[""Black"",""White"",""Blue"",""Community Edition green""]",Weight Unknown,[153499.0],whatmobile.com.pk/whatmobile__Nothing_Phone-3a.json,d637a3892e7e0437eea14fa04f1ed526eb716c4d15c1fdda6aa79bee7b91b9a8,0.87500
13f3b11875c13d3624e2975e9f8df76c9ea6ef8e560a9d10d7387e42b67a90c7,2026-08-14T07:49:29+00:00,Nothing Phone 4a Pro,https://www.whatmobile.com.pk/Nothing_Phone-4a-Pro,"3.5mm Audio Jack, Speaker Phone",true,"[""Black"",""Silver"",""Pink""]",Weight Unknown,[244999.0],whatmobile.com.pk/whatmobile__Nothing_Phone-4a-Pro.json,361c4e8858167a8c2d384c6a8886ad08b4b303faf2c29794767f493453fa54cf,0.87500
a484a0b3d5153115a95acc9463f1142ee6068b796801e7b59991abbc6b27a0bc,2026-08-14T07:49:34+00:00,Nothing Phone 4a,https://www.whatmobile.com.pk/Nothing_Phone-4a,"3.5mm Audio Jack, Speaker Phone",true,"[""Black; other colors""]",Weight Unknown,[214999.0],whatmobile.com.pk/whatmobile__Nothing_Phone-4a.json,80ebaba518cd6ce5c4280e4cdaca2509b990f5c18b76b10ab57cc5dc8db98e6e,0.87500
874860fd82ea6b96910e95e507108ccb61e387a40410e2a1b62dc8dd45031e14,2026-08-14T07:50:45+00:00,Oppo A5 256GB,https://www.whatmobile.com.pk/Oppo_A5-256GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Midnight Purple"",""Aurora Green"",""Mist White""]",Weight Unknown,[54999.0],whatmobile.com.pk/whatmobile__Oppo_A5-256GB.json,dbdc94c20f1a1af9e4b50eb89839b689954b3b9ff7a48729f301c774010e6212,0.87500
047e5d40e9b76fc1e4f5a32869cd2ec56ba94005195216f3711c0ff2e52dbdd0,2026-08-14T07:50:52+00:00,Oppo A5 8GB,https://www.whatmobile.com.pk/Oppo_A5-8GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Midnight Purple"",""Aurora Green"",""Mist White""]",Weight Unknown,[49999.0],whatmobile.com.pk/whatmobile__Oppo_A5-8GB.json,a8af32de029bbf84526ad36cca501cc5fc9b24a62695ccdcc4b2d991f679d655,0.87500
583c0b6bb846b06bb536e0f0dfcbc6546eeb3931dbe947d065d8f5af61a9f1a6,2026-08-14T07:52:25+00:00,Oppo A5i 128GB,https://www.whatmobile.com.pk/Oppo_A5i-128GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Nebula Red"",""Starry Purple""]",Weight Unknown,[35999.0],whatmobile.com.pk/whatmobile__Oppo_A5i-128GB.json,3ab207cbe7582b49ab155934c7b3297774062dc1d77f7436137eadddc60005b4,0.87500
4d98910a0077b235644868d9af092523886c100a68acb9b29f714d949add965a,2026-08-14T07:49:53+00:00,Oppo A6 256GB,https://www.whatmobile.com.pk/Oppo_A6-256GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Sapphire Blue"",""Aurora Gold""]",Weight Unknown,[89999.0],whatmobile.com.pk/whatmobile__Oppo_A6-256GB.json,0ff8683d66863c4b9528a3cc8c38cf65808ab649ad7fa822c3c3e1c334cd75d7,0.87500
f5114d8f15495fa9b34df9e175f2607f659a35cab4489f5b8c38be19a5c500cd,2026-08-14T07:51:42+00:00,Oppo A6 Pro 256GB,https://www.whatmobile.com.pk/Oppo_A6-Pro-256GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Stellar Blue"",""Rosewood Red""]",Weight Unknown,[89999.0],whatmobile.com.pk/whatmobile__Oppo_A6-Pro-256GB.json,4ec5d1a72730751b0437454ef2089743aac98b7dc86d832a901eb1440bc8d642,0.87500
c3de8c0847f7a2aa4849f295bd48b35c739300c56604676cdf37c1f42d1a4324,2026-08-14T07:52:44+00:00,Oppo A6 Pro,https://www.whatmobile.com.pk/Oppo_A6-Pro,"3.5mm Audio Jack, Speaker Phone",true,"[""Stellar Blue"",""Rosewood Red""]",Weight Unknown,[74999.0],whatmobile.com.pk/whatmobile__Oppo_A6-Pro.json,e598c91b586c057d2b56866d46d67cea80b554d7f9d69ca67b5d0af6d9e46fab,0.87500
09f7fddd5d25ab68a14ab5cc973eb4cdd59cb92e67bf33a49c31c4146fee70c6,2026-08-14T07:42:40+00:00,Oppo A6c 128GB,https://www.whatmobile.com.pk/Oppo_A6c-128GB,Speaker Phone,false,"[""Stone Brown"",""Feather Purple"",""Feather White""]",Weight Unknown,[55999.0],whatmobile.com.pk/whatmobile__Oppo_A6c-128GB.json,406a3df7e50d31e870eea9c48f360d650ea10b43d58dc3e1452ece63098b593a,0.87500
fcba7aba3939c0ace7cbbd34d1baa2f7bc0875bcaf9e428d620b28ac5ecbe006,2026-08-14T07:44:47+00:00,Oppo A6k 6GB,https://www.whatmobile.com.pk/Oppo_A6k-6GB,Speaker Phone,false,"[""Plume Purple"",""Ice Blue""]",Weight Unknown,[66999.0],whatmobile.com.pk/whatmobile__Oppo_A6k-6GB.json,4bf9ab6799d65de63cde0d38c3953091f56776103dd3f0797b4b8a983ccc3cab,0.87500
8a67707b5e1cd6fdc94015871b2726fe2765eb15d480b076725e895625e40a07,2026-08-14T07:44:42+00:00,Oppo A6k 8GB,https://www.whatmobile.com.pk/Oppo_A6k-8GB,Speaker Phone,false,"[""Plume Purple"",""Ice Blue""]",Weight Unknown,[69999.0],whatmobile.com.pk/whatmobile__Oppo_A6k-8GB.json,ab400198e1a8a6513ac8850ac96425417c76b6ca740b059692d58fff0b275817,0.87500
8fec41a82a58529407621ed5f8af6135c7763afdf872bb322280d59698a2c82d,2026-08-14T07:44:33+00:00,Oppo A6s Pro,https://www.whatmobile.com.pk/Oppo_A6s-Pro,Speaker Phone,false,"[""Lumina Frost"",""Eclipse Blue""]",Weight Unknown,[99999.0],whatmobile.com.pk/whatmobile__Oppo_A6s-Pro.json,babfd0ffe176fec8ee7fdf524ec98df13d04c514960aa4d4d139465108b4cf3d,0.87500
94ea77d718951f7792deddabceffaf41357916c5ef30b1aef03125e3ba6d27cb,2026-08-14T07:44:27+00:00,Oppo A6x 6GB,https://www.whatmobile.com.pk/Oppo_A6x-6GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Violet Purple"",""Plum Purple""]",Weight Unknown,[46999.0],whatmobile.com.pk/whatmobile__Oppo_A6x-6GB.json,e29e0912550d70216d85bbfd79a9c0055947efc9ade53985215d8ddd8fd18db0,0.87500
82d40ece4f34e725e49575d906a7efa4a2e474ab05a7fa5dbccf33c906c64718,2026-08-14T07:48:20+00:00,Oppo A6x 8GB,https://www.whatmobile.com.pk/Oppo_A6x-8GB,"3.5mm Audio Jack, Speaker Phone",true,"[""Violet Purple"",""Plum Purple""]",Weight Unknown,[51999.0],whatmobile.com.pk/whatmobile__Oppo_A6x-8GB.json,f5aa669f01979db6c421e453b2402173786e7f6d61a2e5c0ab4c49c45b7a6c83,0.87500
7b331861edb5602fac1a04db9ff2811950e6c4dce5b6d0a268768eb3f48a2022,2026-08-14T07:53:21+00:00,Oppo Reno 14 512GB,https://www.whatmobile.com.pk/Oppo_Reno-14-512GB,Speaker Phone,false,"[""Luminous Green"",""Opal White""]",Weight Unknown,[159999.0],whatmobile.com.pk/whatmobile__Oppo_Reno-14-512GB.json,69e6f59547d602253aa595fbd4aff80541f71fc3693074eada527e04d004363e,0.87500
