record_key,card_slot,technology,types_json
04cf26efc2467f7d7e62f46e9945dc84d1cead713066faf1c59fb7026daf87f5,No,"512GB Built-in, 12GB RAM, UFS 3.1","[""512GB Built-in"",""12GB RAM"",""UFS 3.1""]"
2601edd26a87527a49071ec3b6d20e662bc7e35c1149365d4a9e07d208942732,microSDXC,"256GB Built-in, 8GB RAM, UFS 3.1","[""256GB Built-in"",""8GB RAM"",""UFS 3.1""]"
dd20c46956095267896777241f11412448f591aacde3bbe59275a7461a916797,No,"512GB Built-in, 12GB RAM, UFS 3.1","[""512GB Built-in"",""12GB RAM"",""UFS 3.1""]"
8a1b4e658a4924becc155ade37432f6ada5aa66ed5eb4bfdbe2038c8bf7f587c,No,"512GB Built-in, 12GB RAM, UFS 3.1","[""512GB Built-in"",""12GB RAM"",""UFS 3.1""]"
671cece05efe4ce2f9804669b1ad946753c41f843953429c027d0e6c4353638e,microSDXC,"128GB Built-in, 4GB RAM, eMMC 5.1","[""128GB Built-in"",""4GB RAM"",""eMMC 5.1""]"
2e14abf32d6ca77541ef662ffa6ca8b5ffe790b6a69c038b33a37ec6934973e4,microSDXC,"128GB Built-in, 6GB RAM, eMMC 5.1","[""128GB Built-in"",""6GB RAM"",""eMMC 5.1""]"
db9277edba0a3f4bf3457f3b2935a5b1d11599fb22b578534685fc14fc6684b8,microSDXC (uses shared SIM slot),"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
ea0b438dacdefaa91e0868b25396132c4d629ef033a28687aa37d4787593baee,microSDXC (uses shared SIM slot),"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
47022f3936dae5f65de88a20c9c4d52d7f890496ba652450a079e4c6664088c6,microSDXC (uses shared SIM slot),"128GB Built-in, 8GB RAM","[""128GB Built-in"",""8GB RAM""]"
fb7a7ef5b35e9c06eb5d9fcb0c17c779b870995aa29efa0e409e53e9c5f76fd1,No,"512GB Built-in, 16GB RAM, UFS 4.0","[""512GB Built-in"",""16GB RAM"",""UFS 4.0""]"
