record_key,specifications_json,features,video_json
c0091215d0dcebf2d6172595d189efe6ce83870d434dfea0ed7c17ac516d9405,"[""50 MP, f/2.2, 24mm (wide), 1/2.76\""""]",,"[""4K@30fps, 1080p@30fps""]"
89bfe71d5ee89015a60b8a2b3187f9587d12e861c00a947410ec7795378ff292,"[""32 MP, f/2.2, 22mm (wide), 1/3.44\""""]",,"[""1080p@30fps""]"
13f3b11875c13d3624e2975e9f8df76c9ea6ef8e560a9d10d7387e42b67a90c7,"[""32 MP, f/2.2, 22mm (wide), 1/3.42\""""]",,"[""1080p@30fps""]"
a484a0b3d5153115a95acc9463f1142ee6068b796801e7b59991abbc6b27a0bc,"[""32 MP, f/2.2, 22mm (wide), 1/3.44\""""]",,"[""1080p@30fps""]"
874860fd82ea6b96910e95e507108ccb61e387a40410e2a1b62dc8dd45031e14,"[""5 MP, f/2.2, (wide), Panorama""]",,"[""1080p@30fps""]"
047e5d40e9b76fc1e4f5a32869cd2ec56ba94005195216f3711c0ff2e52dbdd0,"[""5 MP, f/2.2, (wide), Panorama""]",,"[""1080p@30fps""]"
583c0b6bb846b06bb536e0f0dfcbc6546eeb3931dbe947d065d8f5af61a9f1a6,"[""5 MP f/2.2""]",,"[""5 MP f/2.2""]"
4d98910a0077b235644868d9af092523886c100a68acb9b29f714d949add965a,"[""8 MP, f/2.0""]",,"[""8 MP, f/2.0""]"
f5114d8f15495fa9b34df9e175f2607f659a35cab4489f5b8c38be19a5c500cd,"[""16 MP, f/2.4, (wide), Panorama""]",,"[""1080p@30fps""]"
c3de8c0847f7a2aa4849f295bd48b35c739300c56604676cdf37c1f42d1a4324,"[""16 MP, f/2.4, (wide), Panorama""]",,"[""1080p@30fps""]"
09f7fddd5d25ab68a14ab5cc973eb4cdd59cb92e67bf33a49c31c4146fee70c6,"[""5 MP, f/2.2, (wide)""]",,"[""1080p@30fps""]"
fcba7aba3939c0ace7cbbd34d1baa2f7bc0875bcaf9e428d620b28ac5ecbe006,"[""5 MP""]",,"[""5 MP""]"
8a67707b5e1cd6fdc94015871b2726fe2765eb15d480b076725e895625e40a07,"[""5 MP""]",,"[""5 MP""]"
8fec41a82a58529407621ed5f8af6135c7763afdf872bb322280d59698a2c82d,"[""50 MP, (wide), Panorama""]",,"[""1080p@30fps""]"
94ea77d718951f7792deddabceffaf41357916c5ef30b1aef03125e3ba6d27cb,"[""5 MP, f/2.2, (wide)""]",,"[""1080p@30fps""]"
82d40ece4f34e725e49575d906a7efa4a2e474ab05a7fa5dbccf33c906c64718,"[""5 MP, f/2.2, (wide)""]",,"[""1080p@30fps""]"
7b331861edb5602fac1a04db9ff2811950e6c4dce5b6d0a268768eb3f48a2022,"[""50 MP, f/2.0, 21mm (wide), AF, Panorama, HDR""]",,"[""4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR""]"
4b8d2512aaa2a8fc245d0ea0cda7e2100f5284ce2849e5dc70667113713b5c27,"[""50 MP, f/2.0, 18mm (ultrawide), AF, Panorama, HDR""]",,"[""4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR""]"
04cf26efc2467f7d7e62f46e9945dc84d1cead713066faf1c59fb7026daf87f5,"[""50 MP, f/2.0, 18mm, (ultrawide), AF, Panorama, HDR""]",,"[""4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR""]"
2601edd26a87527a49071ec3b6d20e662bc7e35c1149365d4a9e07d208942732,"[""50 MP, f/2.0, 18mm (ultrawide), AF""]",,"[""4K@30fps, 1080p@30fps, gyro-EIS""]"
dd20c46956095267896777241f11412448f591aacde3bbe59275a7461a916797,"[""50 MP, f/2.4, 23mm (wide), 1/2.88, Panorama""]",,"[""4K@30/60fps, 1080p@30/60fps, HDR""]"
8a1b4e658a4924becc155ade37432f6ada5aa66ed5eb4bfdbe2038c8bf7f587c,"[""50 MP, f/2.4, 23mm (wide), 1/2.88, Panorama""]",,"[""4K@30fps, 1080p@30/60fps, HDR""]"
671cece05efe4ce2f9804669b1ad946753c41f843953429c027d0e6c4353638e,"[""5 MP, f/2.2, (wide)""]",,"[""720p@30fps""]"
2e14abf32d6ca77541ef662ffa6ca8b5ffe790b6a69c038b33a37ec6934973e4,"[""5 MP, f/2.2, (wide)""]",,"[""720p@30fps""]"
db9277edba0a3f4bf3457f3b2935a5b1d11599fb22b578534685fc14fc6684b8,"[""8 MP, f/2.0, 26mm (wide), 1/4.0""]",,"[""8 MP, f/2.0, 26mm (wide"","", 1/4.0""]"
ea0b438dacdefaa91e0868b25396132c4d629ef033a28687aa37d4787593baee,"[""8 MP, f/2.0, 26mm (wide), 1/4.0\"", Panorama""]",,"[""1080p@30fps""]"
47022f3936dae5f65de88a20c9c4d52d7f890496ba652450a079e4c6664088c6,"[""8 MP, f/2.0, 26mm (wide), 1/4.0""]",,"[""8 MP, f/2.0, 26mm (wide"","", 1/4.0""]"
fb7a7ef5b35e9c06eb5d9fcb0c17c779b870995aa29efa0e409e53e9c5f76fd1,"[""32 MP, f/2.5, 21mm (wide), 1/2.74, Panorama""]",,"[""4K@30/60fps, 1080p@30/60fps""]"
06bfc36940b09cf3390ed5d361e3b135a19761529880923232a394637bfffecf,"[""5 MP, (wide)""]",,"[""5 MP, (wide""]"
304ae24508f9f71596d2b69e716d338b7c9dfde7cd3e8176b022faec1d9ddeb4,"[""5 MP, (wide)""]",,"[""720p@30fps""]"
20c579d2cb42e8e0c9e4ce78444a2a84c673f1b776524bae825f1a05b6b88c2b,"[""5 MP""]",,"[""5 MP""]"
35106d23adf2f88e8c21504c3848848383f61408431e8d01950f75480051a7d3,"[""8 MP, f/2.0, (wide), 1/4.0""]",,"[""8 MP, f/2.0, (wide"","", 1/4.0""]"
4a42bd60f4611f77d7c4defaa28d65cac6823395a81e89705e8f8eb51d507e32,"[""8 MP, f/2.0, (wide), 1/4.0""]",,"[""8 MP, f/2.0, (wide"","", 1/4.0""]"
247056d786b08a36a8d37537c33b4447accaccd40414325fcec610a38e782688,"[""13 MP, f/2.0, (wide), 1/3.1""]",,"[""1080p@30fps""]"
d8193e1a86d154110a833e815380f272b3796df63234e5b8423398413fc8b967,"[""12 MP, f/2.2, (wide), AF""]",,"[""1080p@30fps""]"
d7285b46c06b880fc24db30508a7404d0d24e4a33d94d116b57adc179eae2d6f,"[""12 MP, f/2.2, (wide), 1/3.2\""""]",,"[""4K@30fps, 1080p@30fps, 10-bit HDR""]"
a6789d3461b371c678709b9788ec581233f533e6e23df12deec0dc8967ba9368,"[""12 MP, f/2.0, (wide)""]",,"[""4K@30fps, 1080p@30/60fps""]"
aa107e0df2a31c69074f79377c87bfb8e5e3e7af494d861a68e58ed3a5c12927,"[""12 MP, f/2.2, (wide), 1/3.2\""""]",,"[""4K@30fps, 1080p@30/60fps, 10-bit HDR""]"
5c5e7c9855b0f4627ed07ca43133322296664dfb3a1baae9e5684fd6c3cf6c05,"[""12 MP, f/2.2, (wide), 1/3.2\""""]",,"[""4K@30fps, 1080p@30/60fps, 10-bit HDR""]"
6442be3f9b24f202069db69c38361cb47062f9778cb7cb57a1d445b84d6f7af1,"[""8 MP""]",,"[""8 MP""]"
be8fa653a7c71d690d2eb77abf9cc44ea51b9b949294b49c312e385cc1571a3b,"[""32 MP, f/2.5, (wide)""]",,"[""1080p@30fps""]"
84957b6778275fa587013b80a287199599552ad390d554efd643c3a7c41d361a,"[""50 MP, f/2.4, 21mm (wide), 1/2.76\"", PDAF""]",,"[""4K@30/60fps, 1080p@60fps""]"
de7bf99032fd8ab6780baaf66cb7d5d30eb77bc586be93b9ab0ae90fdd5ac2d0,"[""32 MP, f/2.5, (wide)""]",,"[""1080p@30fps""]"
43f19b71be2b9602c67b5f0d605c054491b8ad653921e6655e77530ca06b1223,"[""8 MP""]",,"[""8 MP""]"
c4bc3440dc9bb78daa0129e81082337d12286b3a5592226b4fa9a961b6e9444d,"[""8 MP, f/2.0, (wide)""]",,"[""8 MP, f/2.0, (wide""]"
73eb0f4c5856bdc594a1ff8c44d34dbdb9fd5b3547bc9f067d15702911b8cd5c,"[""8 MP, Dual LED Flash""]",,"[""8 MP, Dual LED Flash""]"
5b4da1433330929f240ca32abf7f8ce7b541a5167df43173b6138267bdcada85,"[""8 MP""]",,"[""8 MP""]"
0a041421d6ee9d2fbd60825d249081870f88b53a367f839d08d260a44f9b27be,"[""50 MP, f/2.2, 21mm (wide), 1/2.76\"", Zeiss optics, HDR""]",,"[""4K@30fps, 1080p@30/60fps""]"
3c5e649f38209669f9f05961d14d691e9cd12ed7a3efb4471a535ad934aa176a,"[""32 MP, f/2.5, (wide), 1/3.1\""""]",,"[""1080p@30fps""]"
ce0156b771d9d55b9cbe267c12e5b0489c32de76904dba084846a197f5ba1ef5,"[""32 MP, f/2.5, (wide), 1/3.1\""""]",,"[""1080p@30fps""]"
86fe7de219e1b322c02bdb102386588999aa727ebc55577b41684638952e1de4,"[""50 MP, f/2.0, 21mm (wide), 1/2.76""]",,"[""50 MP, f/2.0, 21mm (wide"","", 1/2.76""]"
2646f923a87ea048ce8acb7db6fcde33728e6924c74828e83d5aef36d5121db2,"[""32 MP, f/2.2, 22mm (wide), 1/3.1\""""]",,"[""4K, 1080p""]"
89dfc41d18a3673bf83267db56ca3c6dc7964f55a406409748fa2bcd6273d34d,"[""32 MP, f/2.2, 22mm (wide), 1/3.1\""""]",,"[""4K, 1080p""]"
19c7fea0ae4908cbb32f898d97bb5e4ac64d9d0f37d309a7b43478c222323c01,"[""5 MP, f/2.2, (wide)""]",,"[""5 MP, f/2.2, (wide""]"
be2a61a1220df55fa4aef28f447b549aacdfdb773fc90cf50a6de8f0f7f3c82a,"[""5 MP, f/2.2""]",,"[""5 MP, f/2.2""]"
e5ab53a1860808ef848773d716382b91437a66ffaa68822f8cbf2913524be2ba,"[""5 MP, f/2.2""]",,"[""5 MP, f/2.2""]"
041ed8a6d8297b010d9f9ba878459ef517d1af01cadee0ce6c4dbd071363a5f5,"[""5 MP""]",,"[""5 MP""]"
34b7115693cdca58139716cc49cd7ab78f12eac81220266cdbc9c170e38b93f9,"[""5 MP""]",,"[""5 MP""]"
e81f31d687b95aa322df381e62f9c8da571f9db2d9f0da0a6f5645bba6a3029d,"[""8 MP, f/2.0, (wide)""]",,"[""1080p@30fps""]"
7ae64d15324996ac9511ef989a0021d7f49d847bbb53691b0024115d049b325f,"[""8 MP, f/2.1, (wide)""]",,"[""1080p@30fps""]"
ebab87bcd40ba3ef17b7ae4fe6ed4a4b940ebff0f94ebcc2ac1fd5028ff7f996,"[""8 MP, f/2.1, (wide)""]",,"[""1080p@30fps""]"
6121038dba32bec7f4529487de05cf2a18a64322f110f7247b4caa5cb4ea6a67,"[""32 MP""]",,"[""32 MP""]"
c2d6664e6f2b5240cf834d7330df2a850b3f57cd2a068b236da130943b70d8a3,"[""8 MP, f/2.0, (wide)""]",,"[""1080p@30fps""]"
addcab631ed3e59831cf9f5715dc21a770548ac97d508e6a477910b10c2b556d,"[""8 MP, f/2.0, (wide), 1/4.0, HDR""]",,"[""1080p@30fps""]"
db9309791f972f99eec3bf255babe2d0978915a7559bcc263d306958bf329b67,"[""8 MP""]",,"[""8 MP""]"
43210a8a173a423028ca615be0d78905a3713cd647a366bce6f857c400a8c38b,"[""8 MP""]",,"[""8 MP""]"
72ff8f62231e56134c58aa8a9fa2070af6659357a717184b08e722b7a0ec7699,"[""20 MP, (wide)""]",,"[""1080p@30fps""]"
8b4cf6d8373e4098085482971dcea6e858fa3491146f0d450b4074e2dbcb568e,"[""20 MP""]",,"[""20 MP""]"
677d31b21144f8ac9d714981c29c7e14ebe59cf5a8c4ca5c5812b4c563efbdc4,"[""32 MP, f/2.2, (wide), 1/3.0, HDR, panorama""]",,"[""1080p@30/60fps""]"
a3144d1f4e3f4c6767ce0c0867ce1f0eeda51fbb0a05043cbf7895ddfb889277,"[""20 MP""]",,"[""20 MP""]"
1c355bef3eab13d781ce17f2d953ac6cec07d1c1fd035cc35dd6c0a45414c99c,"[""20 MP, (wide)""]",,"[""1080p@30fps""]"
4bc001ed25342c096f23e270f2a958c79e91d68d53497f00a55840d4caafad65,"[""5 MP""]",,"[""5 MP""]"
dab2bac67f680a308cd3165d64883a73aaa0fc812cbbaadeb19d58304fc668b4,"[""8 MP""]",,"[""8 MP""]"
ec096c9896603113394f987db5de991e4c3d82289139044270a53841c8602205,"[""8 MP, f/2.0, (wide)""]",,"[""8 MP, f/2.0, (wide""]"
98d358e48d36d529afe24a05c368e3ddfeffeedef323408cf02a32c38316b908,"[""16 MP""]",,"[""1080p@30fps""]"
9d4bd0a89b746776efebb207d930f53aaf5bcb489d178e4075336527644a5be7,"[""16 MP""]",,"[""1080p@30fps""]"
