record_key,specifications_json,features,video_json
9584064ec1aa3c7bee1a93326371e4de1c3ce2ad5ab0ba45072de10e607c1d12,"[""Dual Camera: 50 MP, f/1.6, (wide), PDAF, OIS"",""8 MP, f/2.2, (ultrawide), Dual LED Flash""]","Panorama, HDR, Video (4K@30fps, 1080p@30/60/120fps)","[""4K@30fps, 1080p@30/60/120fps""]"
a1415cad8991bc77e7b0902fcad7e02c68addaf7fe3b4c0952307ce7cef98a5f,"[""50 MP, (wide), 1/2.0\"", PDAF Dual LED Flash""]","Panorama, HDR, Video (1440p@30fps, 1080p@30fps)","[""1440p@30fps, 1080p@30fps""]"
e2e48a8821579bc7585fbeff55b4a3d239c1f73294230cf5ec4b9e7c231c39e7,"[""Single Camera: 8 MP, f/2.0, (wide), 1/4.0\"", AF, Dual LED Flash""]","HDR, panorama, Video (1440p@30fps, 1080p@30fps)","[""1440p@30fps, 1080p@30fps""]"
0e10fde081d198a572bd8d29ca6a9e4a710b97d6f342ecf37e2f3e9a32be1000,"[""Single Camera: 8 MP, f/2.0, (wide), 1/4.0\"", AF, Dual LED Flash""]","panorama, Video (1440p@30fps, 1080p@30fps)","[""1440p@30fps, 1080p@30fps""]"
86f2036f04a5210dc8feeda4cffa06ae4ed9863a113d395eb7fb150d8674942f,"[""Single Camera: 8 MP, f/2.0, (wide), 1/4.0\"", AF, Dual LED Flash""]","panorama, Video (1440p@30fps, 1080p@30fps)","[""1440p@30fps, 1080p@30fps""]"
4c3d5bfb64ec9eb732633b3e2aa45c816bbeebfd75dc1dbdae9471be57fc9977,"[""13 MP, LED Flash""]","HDR, Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
da34572f2018d20a6e38151c67b3e1418e6859a51107a99cdf7bf35c4d5b8a06,"[""50 MP, LED Flash""]","HDR, Panorama, Video","[""HDR, Panorama, Video""]"
91c111a97e75c0b6d6f8c8d4f9d4de04381beda91742a625ad792a27dba32a85,"[""Single Camera: 50 MP AI camera, LED Flash""]","HDR Super Night Mode, Video (1080p@30fps)","[""1080p@30fps""]"
a5194f76da0e91245673ebf641d3b08109bae4889ccc94bd61f6c9b949a4f6a3,"[""Dual Camera: 50 MP"",""2 MP, LED Flash""]","HDR, Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
83c2c1555a3be7db081b424f247d6302a0c7b3ec10b980fe639184c503dfe064,"[""Dual Camera: 50 MP, f/1.9, 24mm (wide), 1/1.57\"", dual pixel PDAF"",""50 MP, f/1.9, 50mm (telephoto), 1/2.88\"", PDAF, 2x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60/120fps, gyro-EIS)","[""4K@30fps, 1080p@30/60/120fps, gyro-EIS""]"
4f29f863b9a0f34c1324566df37f289cbec6ba80976b5ebbea174e7ce8a8b020,"[""Triple Camera: 50 MP, f/1.9, 24mm (wide), 1/1.57\"", dual pixel PDAF, OIS"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"""",""2 MP, f/2.4, (macro), LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60/120fps, gyro-EIS)","[""4K@30fps, 1080p@30/60/120fps, gyro-EIS""]"
c0091215d0dcebf2d6172595d189efe6ce83870d434dfea0ed7c17ac516d9405,"[""Triple Camera: 50 MP, f/1.9, 24mm (wide), 1/1.56\"", dual pixel PDAF, OIS"",""50 MP, f/2.6, 70mm (periscope telephoto), 1/1.95\"", PDAF, OIS, 3x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","[""4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS""]"
89bfe71d5ee89015a60b8a2b3187f9587d12e861c00a947410ec7795378ff292,"[""Triple Camera: 50 MP, f/1.9, 24mm (wide), 1/1.57\"", dual pixel PDAF, OIS"",""50 MP, f/2.0, 50mm (telephoto), 1/2.74\"", PDAF, 2x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS)","[""4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS""]"
13f3b11875c13d3624e2975e9f8df76c9ea6ef8e560a9d10d7387e42b67a90c7,"[""Triple Camera: 50 MP, f/1.9, 24mm (wide), 1/1.56\"", dual pixel PDAF, OIS"",""50 MP, f/2.9, 80mm (periscope telephoto), 1/2.75\"", PDAF, OIS, 3.5x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", LED Flash""]","panorama, Ultra HDR, Video (4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS, Dolby Vision HDR, Ultra XDR)","[""4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS, Dolby Vision HDR, Ultra XDR""]"
a484a0b3d5153115a95acc9463f1142ee6068b796801e7b59991abbc6b27a0bc,"[""Triple Camera: 50 MP, f/1.9, 24mm (wide), 1/1.57\"", dual pixel PDAF, OIS"",""50 MP, f/2.0, 50mm (telephoto), 1/2.74\"", PDAF, 2x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS)","[""4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS""]"
874860fd82ea6b96910e95e507108ccb61e387a40410e2a1b62dc8dd45031e14,"[""Dual Camera: 50 MP, f/1.8, (wide), PDAF"",""2 MP, f/2.4, (wide) LED Flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
047e5d40e9b76fc1e4f5a32869cd2ec56ba94005195216f3711c0ff2e52dbdd0,"[""Dual Camera: 50 MP, f/1.8, (wide), PDAF"",""2 MP, f/2.4, (wide) LED Flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
583c0b6bb846b06bb536e0f0dfcbc6546eeb3931dbe947d065d8f5af61a9f1a6,"[""Dual Camera: 8 MP"",""AI, LED Flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
4d98910a0077b235644868d9af092523886c100a68acb9b29f714d949add965a,"[""Dual Camera: 50 MP, f/1.8, AF"",""2 MP, f/2.4, LED Flash""]","panorama, HDR, Video","[""panorama, HDR, Video""]"
f5114d8f15495fa9b34df9e175f2607f659a35cab4489f5b8c38be19a5c500cd,"[""Dual Camera: 50 MP, f/1.8, (wide), PDAF"",""2 MP, f/2.4, (depth), LED Flash""]","panorama, HDR, Video (1080p@30/60/120fps)","[""1080p@30/60/120fps""]"
c3de8c0847f7a2aa4849f295bd48b35c739300c56604676cdf37c1f42d1a4324,"[""Dual Camera: 50 MP, f/1.8, (wide), PDAF"",""2 MP, f/2.4, (depth), LED Flash""]","panorama, HDR, Video (1080p@30/60/120fps)","[""1080p@30/60/120fps""]"
09f7fddd5d25ab68a14ab5cc973eb4cdd59cb92e67bf33a49c31c4146fee70c6,"[""Single Camera: 13 MP, f/2.2, (wide), AF, LED Flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
fcba7aba3939c0ace7cbbd34d1baa2f7bc0875bcaf9e428d620b28ac5ecbe006,"[""Dual Camera: 13 MP"",""AI, LED Flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
8a67707b5e1cd6fdc94015871b2726fe2765eb15d480b076725e895625e40a07,"[""Dual Camera: 13 MP"",""AI, LED Flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
8fec41a82a58529407621ed5f8af6135c7763afdf872bb322280d59698a2c82d,"[""Dual Camera: 50 MP, f/1.8, (wide), PDAF"",""2 MP, LED Flash""]","panorama, HDR, Video (1080p@30/60/120fps)","[""1080p@30/60/120fps""]"
94ea77d718951f7792deddabceffaf41357916c5ef30b1aef03125e3ba6d27cb,"[""13 MP, f/2.2, (wide), AF, LED Flash""]","HDR, Panorama, Video (1080p@30/60fps)","[""1080p@30/60fps""]"
82d40ece4f34e725e49575d906a7efa4a2e474ab05a7fa5dbccf33c906c64718,"[""13 MP, f/2.2, (wide), AF, LED Flash""]","HDR, Panorama, Video (1080p@30/60fps)","[""1080p@30/60fps""]"
7b331861edb5602fac1a04db9ff2811950e6c4dce5b6d0a268768eb3f48a2022,"[""Triple Camera: 50 MP, f/1.8, 26mm (wide), PDAF, OIS"",""50 MP, f/2.8, 80mm (telephoto), PDAF, OIS, 3.5x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", AF, LED Flash""]","Color spectrum sensor, HDR, panorama, Video (4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR)","[""4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR""]"
4b8d2512aaa2a8fc245d0ea0cda7e2100f5284ce2849e5dc70667113713b5c27,"[""Triple Camera: 50 MP, f/1.8, 26mm (wide), PDAF, OIS"",""50 MP, f/2.8, 80mm (telephoto), PDAF, OIS, 3.5x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), 1/4.0\"", AF, LED Flash""]","Color spectrum sensor, HDR, panorama, Video (4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR)","[""4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR""]"
04cf26efc2467f7d7e62f46e9945dc84d1cead713066faf1c59fb7026daf87f5,"[""Triple Camera: 200 MP, f/1.8, 24mm (wide), 1/1.56\"", PDAF, OIS"",""50 MP, f/2.8, 85mm (telephoto), PDAF, OIS, 3.5x optical zoom"",""50 MP, f/2.0, 16mm, (ultrawide), AF, LED Flash""]","Color spectrum sensor, HDR, panorama, Video (4K@30/60fps, 1080p@30/60/120/240/480fps, gyro-EIS, HDR, OIS)","[""4K@30/60fps, 1080p@30/60/120/240/480fps, gyro-EIS, HDR, OIS""]"
2601edd26a87527a49071ec3b6d20e662bc7e35c1149365d4a9e07d208942732,"[""Triple Camera: 50 MP, f/1.8, 26mm (wide), 1/1.95\"", PDAF, OIS"",""8 MP, f/2.2, 16mm, (ultrawide), 1/4.0\"""",""2 MP (macro), Ring-LED flash""]","Color spectrum sensor, LED flash, HDR, panorama, (Afterglow Pink model only), Video (4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS)","[""4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS""]"
dd20c46956095267896777241f11412448f591aacde3bbe59275a7461a916797,"[""Triple Camera: 200 MP, f/1.9, 23mm (wide), 1/1.56\"", dual-pixel PDAF, OIS"",""50 MP, f/2.8, (periscope telephoto), 1/2.76\"", PDAF, OIS, 3.5 optical zoom"",""8 MP, (ultrawide), 1/4.0\"", AF, LED Flash""]","HDR, Panorama, Video (4K@24/30/60fps, 1080p@24/30/60/120fps, HDR, gyro-EIS, OIS)","[""4K@24/30/60fps, 1080p@24/30/60/120fps, HDR, gyro-EIS, OIS""]"
8a1b4e658a4924becc155ade37432f6ada5aa66ed5eb4bfdbe2038c8bf7f587c,"[""Dual Camera: 200 MP, f/1.9, 23mm (wide), 1/1.56\"", dual-pixel PDAF, OIS"",""8 MP, (ultrawide), 1/4.0\"", LED Flash""]","HDR, Panorama, Video (4K@30fps, 1080p@30/60/120fps, HDR, gyro-EIS, OIS)","[""4K@30fps, 1080p@30/60/120fps, HDR, gyro-EIS, OIS""]"
671cece05efe4ce2f9804669b1ad946753c41f843953429c027d0e6c4353638e,"[""8 MP, f/2.0, (wide), AF, LED Flash""]","HDR, panorama, Video (1080p@30fps)","[""1080p@30fps""]"
2e14abf32d6ca77541ef662ffa6ca8b5ffe790b6a69c038b33a37ec6934973e4,"[""8 MP, f/2.0, (wide), AF, LED Flash""]","HDR, panorama, Video (1080p@30fps)","[""1080p@30fps""]"
db9277edba0a3f4bf3457f3b2935a5b1d11599fb22b578534685fc14fc6684b8,"[""Single Camera: 50 MP, f/1.8, 28mm (wide), 1/2.96\"", PDAF, LED Flash""]","HDR, panorama, Video (1080p@30/120fps)","[""1080p@30/120fps""]"
ea0b438dacdefaa91e0868b25396132c4d629ef033a28687aa37d4787593baee,"[""Single Camera: 50 MP, f/1.8, 28mm (wide), PDAF, LED Flash""]","HDR, panorama, Video (1080p@30/120fps)","[""1080p@30/120fps""]"
47022f3936dae5f65de88a20c9c4d52d7f890496ba652450a079e4c6664088c6,"[""Single Camera: 50 MP, f/1.8, 28mm (wide), PDAF, LED Flash""]","HDR, panorama, Video (1080p@30/120fps)","[""1080p@30/120fps""]"
fb7a7ef5b35e9c06eb5d9fcb0c17c779b870995aa29efa0e409e53e9c5f76fd1,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/1.56, PDAF"",""50 MP, f/2.0, (telephoto), 1/2.76\"", PDAF, 2x optical zoom"",""8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0\"", LED Flash""]","Color spectrum sensor, HDR, panorama, Video (8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, Dolby Vision HDR)","[""8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, Dolby Vision HDR""]"
06bfc36940b09cf3390ed5d361e3b135a19761529880923232a394637bfffecf,"[""Single Camera: 32 MP, f/1.8, (wide), PDAF, Auxiliary lens""]","Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
304ae24508f9f71596d2b69e716d338b7c9dfde7cd3e8176b022faec1d9ddeb4,"[""Single Camera: 8 MP Auxiliary lens, LED Flash""]","Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
20c579d2cb42e8e0c9e4ce78444a2a84c673f1b776524bae825f1a05b6b88c2b,"[""Single Camera: 13 MP, f/2.2, LED Flash""]","Photo Mode, Video Mode, Night Mode, Professional Mode, Portrait Mode, Panorama, Slow Motion, Time-lapse, HyperText Mode, Dual-view Video, Sticker，Google Lens, Video","[""Photo Mode, Video Mode, Night Mode, Professional Mode, Portrait Mode, Panorama, Slow Motion, Time-lapse, HyperText Mode, Dual-view Video, Sticker，Google Lens, Video""]"
35106d23adf2f88e8c21504c3848848383f61408431e8d01950f75480051a7d3,"[""Dual Camera: 50 MP, f/1.8, (wide), 1/2.76\"", PDAF"",""2 MP, f/2.4, (depth), LED Flash""]","Geo-tagging, touch focus, face detection, panorama, HDR, Video (1080p@30/60fps)","[""1080p@30/60fps""]"
4a42bd60f4611f77d7c4defaa28d65cac6823395a81e89705e8f8eb51d507e32,"[""Dual Camera: 50 MP, f/1.8, (wide), 1/2.76\"", PDAF"",""2 MP, f/2.4, (depth), LED Flash""]","Geo-tagging, touch focus, face detection, panorama, HDR, Video (1080p@30/60fps)","[""1080p@30/60fps""]"
247056d786b08a36a8d37537c33b4447accaccd40414325fcec610a38e782688,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/2.76\"", AF, OIS"",""5 MP, f/2.2, (ultrawide), 1/5.0\"""",""2 MP, f/2.4, (macro), LED Flash""]","panorama, HDR, Video (1080p@30fps, gyro-EIS)","[""1080p@30fps, gyro-EIS""]"
d8193e1a86d154110a833e815380f272b3796df63234e5b8423398413fc8b967,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/2.76\"", PDAF, OIS"",""5 MP, f/2.2, (ultrawide), 1/5.0\"""",""2 MP (macro), LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30fps, 720p@480fps, gyro-EIS","[""4K@30fps, 1080p@30fps, 720p@480fps, gyro-EIS""]"
d7285b46c06b880fc24db30508a7404d0d24e4a33d94d116b57adc179eae2d6f,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/1.56\"", PDAF, OIS"",""8 MP, f/2.2, (ultrawide), 1/4.0\"""",""5 MP, f/2.4, (macro), LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60fps, gyro-EIS)","[""4K@30fps, 1080p@30/60fps, gyro-EIS""]"
a6789d3461b371c678709b9788ec581233f533e6e23df12deec0dc8967ba9368,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/1.56\"", PDAF, OIS"",""12 MP, f/2.2, (ultrawide), 1/3.06\"""",""5 MP, f/2.4, (macro), LED Flash""]","panorama, HDR, Video (4K@30fps, 1080p@30/60fps, gyro-EIS)","[""4K@30fps, 1080p@30/60fps, gyro-EIS""]"
aa107e0df2a31c69074f79377c87bfb8e5e3e7af494d861a68e58ed3a5c12927,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/1.56\"", PDAF, OIS"",""12 MP, f/2.2, (ultrawide), 1/3.06\"", 5 MP, f/2.4, (macro), LED Flash""]","Best Face, panorama, HDR, Video (4K@30fps, 1080p@30/60fps, HDR, gyro-EIS)","[""4K@30fps, 1080p@30/60fps, HDR, gyro-EIS""]"
5c5e7c9855b0f4627ed07ca43133322296664dfb3a1baae9e5684fd6c3cf6c05,"[""Triple Camera: 50 MP, f/1.8, (wide), 1/1.56\"", PDAF, OIS"",""12 MP, f/2.2, (ultrawide), 1/3.06\"", 5 MP, f/2.4, (macro), LED Flash""]","Best Face, panorama, HDR, Video (4K@30fps, 1080p@30/60fps, HDR, gyro-EIS)","[""4K@30fps, 1080p@30/60fps, HDR, gyro-EIS""]"
6442be3f9b24f202069db69c38361cb47062f9778cb7cb57a1d445b84d6f7af1,"[""50 MP CIF, LED Flash""]","Geo-tagging, Phase detection, HDR, Video","[""Geo-tagging, Phase detection, HDR, Video""]"
be8fa653a7c71d690d2eb77abf9cc44ea51b9b949294b49c312e385cc1571a3b,"[""Triple Camera: 50 MP, f/1.8, 23mm (wide), 1/1.56\"", PDAF, OIS"",""50 MP, f/2.4, 70mm (telephoto), AF, OIS, 3x optical zoom"",""8 MP, f/2.2, 14mm, (ultrawide), Dual LED Flash""]","Panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
84957b6778275fa587013b80a287199599552ad390d554efd643c3a7c41d361a,"[""Triple Camera: 50 MP, f/1.8, 23mm (wide), 1/1.56\"", PDAF, OIS"",""50 MP, f/2.4, 70mm (telephoto), 1/2.88\"", PDAF, 3x optical zoom"",""8 MP, f/2.2, 14mm, (ultrawide), 1/4.0\"", Dual LED Flash""]","Panorama, HDR, Video (4K@30fps, 1080p@60fps)","[""4K@30fps, 1080p@60fps""]"
de7bf99032fd8ab6780baaf66cb7d5d30eb77bc586be93b9ab0ae90fdd5ac2d0,"[""Dual Camera: 50 MP, f/1.8, 23mm (wide), 1/1.56\"", PDAF, OIS"",""8 MP, f/2.2, 14mm, (ultrawide), AF, Dual LED Flash""]","Panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
43f19b71be2b9602c67b5f0d605c054491b8ad653921e6655e77530ca06b1223,"[""13 MP, f/1.8, 27mm (wide), PDAF, Dual LED Flash""]","Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
c4bc3440dc9bb78daa0129e81082337d12286b3a5592226b4fa9a961b6e9444d,"[""50 MP, f/1.9, (wide), PDAF, LED Flash""]","Panorama, Video (1440p@30fps, 1080p@30fps)","[""1440p@30fps, 1080p@30fps""]"
73eb0f4c5856bdc594a1ff8c44d34dbdb9fd5b3547bc9f067d15702911b8cd5c,"[""13 MP, f/1.8, 27mm (wide), PDAF, Dual LED Flash""]","HDR, Video (1080p@30fps)","[""1080p@30fps""]"
5b4da1433330929f240ca32abf7f8ce7b541a5167df43173b6138267bdcada85,"[""13 MP, f/1.8, 27mm (wide), PDAF, Dual LED Flash""]","HDR, Video (1080p@30fps)","[""1080p@30fps""]"
0a041421d6ee9d2fbd60825d249081870f88b53a367f839d08d260a44f9b27be,"[""Triple Camera: 50 MP, f/1.9, 23mm (wide), 1/1.56\"", PDAF, OIS"",""50 MP, f/2.7, 73mm (periscope telephoto), 1/1.95\"", PDAF, OIS, 3x optical zoom"",""8 MP, f/2.0, 15mm, (ultrawide), Ring-LED flash""]","Zeiss optics, panorama, HDR, Video (4K@30fps, 1080p@30fps, gyro-EIS, OIS)","[""4K@30fps, 1080p@30fps, gyro-EIS, OIS""]"
3c5e649f38209669f9f05961d14d691e9cd12ed7a3efb4471a535ad934aa176a,"[""Dual Camera: 50 MP, f/1.8, (wide), 1/1.95\"", PDAF"",""8 MP, f/2.2, (ultrawide), Ring-LED flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
ce0156b771d9d55b9cbe267c12e5b0489c32de76904dba084846a197f5ba1ef5,"[""Dual Camera: 50 MP, f/1.8, (wide), 1/1.95\"", PDAF"",""8 MP, f/2.2, (ultrawide), Ring-LED flash""]","panorama, HDR, Video (1080p@30fps)","[""1080p@30fps""]"
86fe7de219e1b322c02bdb102386588999aa727ebc55577b41684638952e1de4,"[""Triple Camera: 50 MP, f/1.9, 23mm (wide), 1/1.56\"", PDAF, OIS"",""50 MP, f/2.7, 85mm (periscope telephoto), 1/1.95\"", PDAF, OIS, 3.7x optical zoom"",""8 MP, f/2.2, 15mm, (ultrawide), Ring-LED flash""]","Zeiss optics, panorama, HDR, Video (4K@30/60fps, 1080p@30/60fps, gyro-EIS, OIS, HDR, LUT)","[""4K@30/60fps, 1080p@30/60fps, gyro-EIS, OIS, HDR, LUT""]"
2646f923a87ea048ce8acb7db6fcde33728e6924c74828e83d5aef36d5121db2,"[""Dual camera: 200 MP, f/1.9, 24mm (wide), 1/1.56\"", PDAF, OIS"",""8 MP, f/2.2, (ultrawide), 1/4.0\"", Ring-LED flash""]","Color spectrum sensor, HDR, panorama, Video (4K, 1080p, gyro-EIS, OIS)","[""4K, 1080p, gyro-EIS, OIS""]"
89dfc41d18a3673bf83267db56ca3c6dc7964f55a406409748fa2bcd6273d34d,"[""Dual camera: 200 MP, f/1.9, 24mm (wide), 1/1.56\"", PDAF, OIS"",""8 MP, f/2.2, (ultrawide), 1/4.0\"", Ring-LED flash""]","Color spectrum sensor, HDR, panorama, Video (4K, 1080p, gyro-EIS, OIS)","[""4K, 1080p, gyro-EIS, OIS""]"
19c7fea0ae4908cbb32f898d97bb5e4ac64d9d0f37d309a7b43478c222323c01,"[""Dual Camera: 13 MP, f/2.2, (wide), PDAF"",""0.08 MP, f/3.0 (auxiliary lens), LED Flash""]","Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
be2a61a1220df55fa4aef28f447b549aacdfdb773fc90cf50a6de8f0f7f3c82a,"[""8 MP, f/2.0, LED Flash""]","Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
e5ab53a1860808ef848773d716382b91437a66ffaa68822f8cbf2913524be2ba,"[""Dual Camera: 50 MP, f/1.8"",""0.08 MP, f/3.0, LED Flash""]","Night, Portrait, Live Photo, Time-lapse, Pro, Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
041ed8a6d8297b010d9f9ba878459ef517d1af01cadee0ce6c4dbd071363a5f5,"[""Dual Camera: 50 MP, f/1.8"",""0.08 MP, f/2.2, LED Flash""]","Night, Portrait, Video, Live Photo, Slo-mo, Time-lapse, Panorama, Video","[""Night, Portrait, Video, Live Photo, Slo-mo, Time-lapse, Panorama, Video""]"
34b7115693cdca58139716cc49cd7ab78f12eac81220266cdbc9c170e38b93f9,"[""Dual Camera: 50 MP, f/1.8"",""0.08 MP, f/2.2, LED Flash""]","Night, Portrait, Video, Live Photo, Slo-mo, Time-lapse, Panorama, Video","[""Night, Portrait, Video, Live Photo, Slo-mo, Time-lapse, Panorama, Video""]"
e81f31d687b95aa322df381e62f9c8da571f9db2d9f0da0a6f5645bba6a3029d,"[""Dual Camera: 50 MP, f/1.8, (wide), PDAF"",""2 MP, f/2.4, (depth), Ring-LED flash, Ring-LED flash""]","Panorama, Video (1080p@30fps)","[""1080p@30fps""]"
7ae64d15324996ac9511ef989a0021d7f49d847bbb53691b0024115d049b325f,"[""Dual Camera: 50 MP, f/2.0, (wide), PDAF"",""2 MP, LED Flash""]","Panorama, HDR, Video, (1080p@30fps)","[""Panorama, HDR, Video, (1080p@30fps""]"
