record_key,type,size,resolution,protection
c886e60da64a497faa5c6f874ca673af47d2c4206e28b5df9cc89286bd72de95,TFT LCD,"2.8 inches, 24.3 cm 2 (~35.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
7db5502b805a17d224b2e8f4a0de13c6cfdd8a2064927462ef940ab6996ed2e6,TFT LCD,"2.8 inches, 24.3 cm 2 (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
f49f570a353ad519eb7b4d2d215fb85f8907831b81983d4d599f77adbc46a353,TFT LCD,"2.8 inches, 24.3 cm 2","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
d60d842ac45ec4200396a3a74897827ed8356674be220aff9794761b79daa040,TFT LCD,"2.8 inches, 24.3 cm 2 (~20.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
c18e6431e2c86142fd6154d4d4aa98460e5db25e514742a5ed37ce07d553861f,TFT LCD,"2.7 inches, 22.6 cm 2 (~19.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",
df2d424ec17f4792232f26b45e7154183dc07da24b8a38ab4ec80b30cb46ecd2,TFT,"2.4 inches, 17.8 cm 2 (~28.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
074acd18ea5f3d0ffaa5ca41c311baf1275221cf6033550809e2cc74bc89d42f,IPS LCD,"2.8 inches, 24.3 cm 2 (~32.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
c225878c308f380bb5d7505add34d5b60d93d7a2534020f47b61a5eb904af78a,TFT LCD,"2.4 inches, 17.8 cm 2 (~22.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",
0333124b6d005e1ee2ed06310d243866f3805ab05786d712379ccf2aaf7f4ad0,TFT LCD,"2.8 inches, 24.3 cm 2 (~32.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
9c75fc19967a4e42baa3e1351f4d23aad960eb28a3ef9c2432162cf6d29924c2,TFT LCD,"2.8 inches, 24.3 cm 2 (~32.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",
39244f66676e104d2d42c0aac399e85c2c506d6c1abe8f4cf7ed5df60abd4348,IPS LCD,"5.45 inches, 76.7 cm 2 (~72.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",
5ae57c38bbab459303f49aa01f8c54b61b7f4ddf3b1b47ff642e022c29ca89fb,IPS LCD,"5.45 inches, 76.7 cm 2 (~71.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",
771a45b9bdc3f2de731305249d966aab549b0c37ea1e5eeb0fbdf7374eec22f8,"IPS LCD, 400 nits (typ)","6.3 inches, 97.4 cm 2 (~81.9% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Scratch-resistant glass
1133db2497caa79105b900d88ed0e46a52a58b56e7f8a5ab8bb39cd38ba639be,IPS LCD,"6.3 inches, 95.8 cm 2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",Scratch-resistant glass
39fe5f7c5c64a9d5204a8af6a0892c3f2415ac20ca74b93a3afe00135e762357,IPS LCD,"6.3 inches, 99.1 cm 2 (~83.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~267 ppi density)",
21c9a043f7a318c8296ddfe2544b6febde1e97b35df4b6e388e8f3c62f2e2173,IPS LCD,"6.3 inches, 95.8 cm 2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",Scratch-resistant glass
02727be98595b9c42dad69006785b9d0e2a2e2b693469c26f91a582bed4e57ba,IPS LCD,"6.09 inches, 91.0 cm 2 (~79.6% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",
5387dd573fe2da029fb445c52a409e1c3aba2cd89d925234283c493d66092be5,IPS LCD,"6.52 inches, 102.6 cm 2 (~77.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",
191dfbc3e80b695469d65d09f4535f0380c802be7cafa805a007435e59847333,IPS LCD,"6.3 inches, 97.4 cm 2 (~82.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Corning Gorilla Glass 3
551b56e9c0ef47f5a9837f3714decb26bc4cc0734ff16e1a23c7239c69cbcec3,IPS LCD,"6.52 inches, 102.6 cm 2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Scratch-resistant glass
e140f92e3a75494a5a2155f8ad19487fe03d4005013029673c14e570a46a62aa,IPS LCD,"6.5 inches, 102.0 cm 2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Scratch-resistant glass
4e16899a112f575c5d67b59b4776823a71f639c707e70fb8be2e783ea76c925e,IPS LCD,"5.7 inches, 83.8 cm 2 (~71.7% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~188 ppi density)",
1a7c9f92e0fdd251e38894d49a4eef8c778f81f895d43a437d2de814eadc29ba,"IPS LCD, 400 nits (typ)","6.52 inches, 102.6 cm 2 (~80.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Scratch-resistant glass
af1137450ee69f5fb282a4f6304651786d21df7b89975efba708d86a792430a4,IPS LCD,"6.75 inches, 110.0 cm 2 (~83.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",
de1e7816d4eade05fbd878e85fc4de0ebf66536295082766b364a294abb5e3e9,IPS LCD,"6.5 inches, 102.0 cm 2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Scratch-resistant glass
35f77f147dbd57d4deed9cd0128194e3208461abecef5d40c1dab969fc851f64,IPS LCD,"6.52 inches, 102.6 cm 2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",
3e2ee0619ac946f41996e030a1a107336fa104390cc92c2a4f2f6a5363bf6649,"IPS LCD, 90Hz","6.5 inches, 102.0 cm 2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",
ef4db945229b1d51889288131d7f66ef74b1e861a41b40ea6a2b7259d68ec122,"IPS LCD, 90Hz, 400 nits (typ)","6.52 inches, 102.6 cm 2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",
aaf5a174fc1dafdfdc28167bc8c14f7469cae5d279ba58ec015ebeb517dc8c24,"IPS LCD, 90Hz, 400 nits (typ)","6.5 inches, 102.0 cm 2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",
5c08512033cb1c305aa8cd49a09b1404b4ca656a17548cb315803ee87397828a,"IPS LCD, 90Hz, 500 nits (typ)","6.5 inches, 102.0 cm 2 (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Corning Gorilla Glass 3
5a79fbe9b3b69ccac5e86b69d20e1bcaf53ab861fbd02dbd347e2b61381d930b,IPS LCD,"6.52 inches, 102.6 cm 2 (~77.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",
5b6351568cb2d7420f79e745bd7c52f43493747d3b908b88ae54fe9e4146e6ef,"IPS LCD, 90Hz","6.56 inches, 103.4 cm 2 (~82.7% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Corning Gorilla Glass 3
adf47cb638c2e72bfb1577a2af1a2a2f286f574ba6629c529e3ecd0b1d08614f,"IPS LCD, 120Hz","6.58 inches, 104.3 cm 2 (~81.7% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",Corning Gorilla Glass 3
0a8e2eed287552e453b18029eb4e3892afb675f09f6388572bcaafd1bfbec7b9,"IPS LCD, 90Hz, 450 nits (typ), 560 nits (peak)","6.56 inches, 103.4 cm 2 (~82.7% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Corning Gorilla Glass 3
379c86312a94015ddf1b443c35488922b573fea0fd72747a8e3fd3febd2d3e66,"IPS LCD, 120Hz, 400 nits (typ)","6.58 inches, 104.3 cm 2 (~82.8% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",Corning Gorilla Glass 5
741f2c4dbc67d804a52074c56d66d8e46d59c526fb892ca1e114eef6d49d7d6f,"IPS LCD, 360 nits (typ), 450 nits (peak)","8.0 inches, 185.6 cm 2 (~72.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",
e20223af7a9456010571420458f02cdafde148ae5e15b10d7313d532d9702e80,"IPS LCD, 400 nits (typ)","10.4 inches, 307.9 cm 2 (~78.9% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",Scratch-resistant glass
17c495b43d5ce4abcceb8a4b89e559b28f8143702ef2f097e6948f4f62e93fa6,"IPS LCD, 360 nits (typ)","10.4 inches, 307.9 cm 2 (~79.1% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",Scratch-resistant glass
335b890270c2b689f33502cb15cb39f69d546b4e5f6f41a99d0eb3815ba012db,IPS LCD,"6.67 inches, 107.4 cm 2 (~78.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Corning Gorilla Glass 3
9625afae43e353d015a88b9a3df07b94e0f46584385c945039674f5d92861aa4,"AMOLED, 90Hz, 450 nits (typ), 700 nits (peak)","6.43 inches, 99.8 cm 2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Corning Gorilla Glass Victus
222fa9903f2cf938f8b1f467243d5d729a8d3645f99f5cf1396a2c03269a6ae8,"IPS LCD, 120Hz, 450 nits (typ), 550 nits (HBM)","6.49 inches, 101.7 cm 2 (~77.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~406 ppi density)",Corning Gorilla Glass Victus
