record_key,wlan,bluetooth,positioning,nfc,infrared_port,radio,usb,back_finger_print,side_finger_print,in_display_finger_print,sensors
771a45b9bdc3f2de731305249d966aab549b0c37ea1e5eeb0fbdf7374eec22f8,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",GPS,false,false,true,USB Type-C 2.0,false,false,false,"Accelerometer, proximity, barometer"
1133db2497caa79105b900d88ed0e46a52a58b56e7f8a5ab8bb39cd38ba639be,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Accelerometer, proximity"
39fe5f7c5c64a9d5204a8af6a0892c3f2415ac20ca74b93a3afe00135e762357,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Accelerometer, proximity"
21c9a043f7a318c8296ddfe2544b6febde1e97b35df4b6e388e8f3c62f2e2173,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Accelerometer, proximity"
02727be98595b9c42dad69006785b9d0e2a2e2b693469c26f91a582bed4e57ba,Wi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",GPS,false,false,true,"USB Type-C 2.0, OTG",false,false,false,"Accelerometer, proximity, barometer"
5387dd573fe2da029fb445c52a409e1c3aba2cd89d925234283c493d66092be5,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Fingerprint (rear-mounted), accelerometer, proximity"
191dfbc3e80b695469d65d09f4535f0380c802be7cafa805a007435e59847333,Wi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",GPS,false,false,true,"USB Type-C 2.0, OTG",false,false,false,Yes
551b56e9c0ef47f5a9837f3714decb26bc4cc0734ff16e1a23c7239c69cbcec3,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,false,false,true,microUSB 2.0,false,false,false,"Fingerprint (rear-mounted), accelerometer, proximity"
e140f92e3a75494a5a2155f8ad19487fe03d4005013029673c14e570a46a62aa,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,USB Type-C 2.0,false,false,false,"Fingerprint (rear-mounted), accelerometer, proximity"
4e16899a112f575c5d67b59b4776823a71f639c707e70fb8be2e783ea76c925e,Wi-Fi 802.11 b/g/n,"5.0, A2DP, LE",GPS,false,false,true,microUSB 2.0,false,false,false,Accelerometer
1a7c9f92e0fdd251e38894d49a4eef8c778f81f895d43a437d2de814eadc29ba,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",GPS,false,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, proximity, barometer"
af1137450ee69f5fb282a4f6304651786d21df7b89975efba708d86a792430a4,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,false,false,true,"microUSB 2.0, OTG",false,false,false,"Fingerprint (rear-mounted), accelerometer, proximity"
de1e7816d4eade05fbd878e85fc4de0ebf66536295082766b364a294abb5e3e9,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,false,false,true,USB Type-C 2.0,false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
35f77f147dbd57d4deed9cd0128194e3208461abecef5d40c1dab969fc851f64,"Wi-Fi 802.11 b/g/n/ac, dual-band","5.0, A2DP, LE",GPS,false,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer"
3e2ee0619ac946f41996e030a1a107336fa104390cc92c2a4f2f6a5363bf6649,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO",true,false,true,"USB Type-C 2.0, OTG",false,true,false,"Fingerprint (side-mounted), accelerometer, proximity"
ef4db945229b1d51889288131d7f66ef74b1e861a41b40ea6a2b7259d68ec122,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",GPS,false,false,true,"USB Type-C 2.0, OTG",false,false,false,"Fingerprint (rear-mounted), accelerometer, proximity"
