record_key,card_slot,technology,types_json
551b56e9c0ef47f5a9837f3714decb26bc4cc0734ff16e1a23c7239c69cbcec3,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 2GB RAM"",""32GB 3GB RAM"",""64GB 2GB RAM"",""64GB 3GB RAM"",""64GB 4GB RAM""]"
e140f92e3a75494a5a2155f8ad19487fe03d4005013029673c14e570a46a62aa,microSDXC (dedicated slot),eMMC 5.1,"[""64GB 2GB RAM"",""64GB 3GB RAM"",""128GB 4GB RAM""]"
4e16899a112f575c5d67b59b4776823a71f639c707e70fb8be2e783ea76c925e,microSDXC (dedicated slot),eMMC 5.1,"[""16GB 2GB RAM"",""32GB 1GB RAM"",""32GB 2GB RAM""]"
1a7c9f92e0fdd251e38894d49a4eef8c778f81f895d43a437d2de814eadc29ba,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM""]"
af1137450ee69f5fb282a4f6304651786d21df7b89975efba708d86a792430a4,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM"",""64GB 4GB RAM"",""128GB 4GB RAM""]"
de1e7816d4eade05fbd878e85fc4de0ebf66536295082766b364a294abb5e3e9,microSDXC (dedicated slot),eMMC 5.1,"[""64GB 3GB RAM"",""64GB 4GB RAM"",""128GB 4GB RAM"",""128GB 6GB RAM""]"
35f77f147dbd57d4deed9cd0128194e3208461abecef5d40c1dab969fc851f64,microSDXC,,"[""32GB 3GB RAM"",""128GB 4GB RAM""]"
3e2ee0619ac946f41996e030a1a107336fa104390cc92c2a4f2f6a5363bf6649,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM"",""64GB 3GB RAM"",""64GB 4GB RAM""]"
ef4db945229b1d51889288131d7f66ef74b1e861a41b40ea6a2b7259d68ec122,microSDXC (dedicated slot),eMMC 5.1,"[""32GB 3GB RAM"",""64GB 3GB RAM"",""64GB 4GB RAM"",""128GB 3GB RAM""]"
aaf5a174fc1dafdfdc28167bc8c14f7469cae5d279ba58ec015ebeb517dc8c24,microSDXC (dedicated slot),eMMC 5.1,"[""64GB 3GB RAM"",""64GB 4GB RAM"",""128GB 4GB RAM"",""128GB 6GB RAM""]"
